	shannon_entropy
NW001-1	5.5220287360488385
NW001-3	5.497071418254785
NW001-4	4.1501649641124025
NW002-1	5.793038367848666
NW002-2	6.1562923718060105
NW003-1	5.8691983351107435
NW003-2	5.823425961118245
NW003-3	5.360757364191344
NW003-4	5.462709301252424
NW003-5	5.433603280275445
NW005-1	6.879432789289586
NW005-2	7.239313050703651
NW005-3	6.822884448239075
NW005-4	7.071605688195323
NW005-5	7.179132781784988
NW006-1	6.9629361694193435
NW006-2	7.2327764132840215
NW006-3	7.198698723292992
NW007-1	5.320496009102023
NW007-2	6.185960194462684
NW007-4	5.520226157815689
NW007-5	5.044090436223298
NW007-6	3.753797162899207
NW008-1	6.950992154744073
NW010-1	5.87591102170599
NW010-2	5.673181795636693
NW010-4	6.0919878354538675
NW010-5	5.8509796952474336
NW011-1	7.110389366578742
NW011-2	7.120498850454849
NW011-4	6.316307520725719
NW011-5	6.615755443699329
NW011-6	6.0110069449627535
NW012-1	7.269159311907805
NW012-3	7.426336004221701
NW012-4	5.6914242328873
NW012-5	7.313834752945772
NW012-6	7.420499560052944
NW013-1	6.91887782395356
NW013-2	5.937182469554765
NW013-3	6.76305577632472
NW013-4	6.60622473367814
NW013-5	6.209373523782187
NW014-1	6.449633465485817
NW015-1	6.3971368062020915
NW015-2	6.804492257908868
NW015-3	6.662719079052695
NW015-5	6.542758658868602
NW015-6	6.785762604933147
NW016-1	5.895439976918397
NW016-2-1	6.36491592491647
NW016-2-2	6.739791307019355
NW016-2-3	5.433773731776434
NW016-3	6.009463378820422
NW016-4-1	4.938055395941991
NW016-4-2	5.86091813041955
NW016-5	3.063489657471571
NW018-1	6.595507168322425
NW018-2	6.706620399889385
NW018-3-1	6.123461327606183
NW018-3-2	5.913049105291888
NW018-4	6.500133956315063
NW018-5	6.271623525868514
NW019-1	6.745777150661615
NW019-2-1	6.529743078514825
NW019-2-2	6.677301554169842
NW019-3	6.679194554849158
NW019-4	6.771658116703717
NW019-5	6.458785763395035
NW020-1	7.229347521749479
NW020-2	6.965899598525112
NW020-3	6.829769156655636
NW020-5	7.10726611401957
NW020-6	6.789578417304343
NW021-3	4.541630913367919
NW021-5	4.924006762691951
NW021-6	5.383885134139562
NW022-1	6.230481518099127
NW022-4	6.549403471603686
NW022-5-1	6.816607827877919
NW022-5-2	6.045527596366134
NW022-6	6.044061992379095
NW023-1	6.753290940517063
NW023-3	6.40996240212673
NW023-4	6.454435096451272
NW023-6	5.975293490238817
NW025-1	6.492477391043559
NW025-2	6.519081003106512
NW025-3	6.1655974435652094
NW025-4	6.194126180897946
NW026-1	7.863640446724663
NW026-2	6.96520661508325
NW026-3	7.42235566738975
NW026-4	7.202808391157504
NW026-5	7.018387918931412
NW027-1	5.507285599381204
NW027-2	5.444911069160996
NW027-3	5.100009708838927
NW027-5	5.258146551403345
NW027-6	5.454180707376621
NW028-1	5.498634106702678
NW028-2	5.973435412882111
NW028-3	5.75888148759029
NW028-4	6.074445995552049
NW028-5	5.73805398854425
NW029-1	6.320990401502211
NW029-2	6.657948316991555
NW029-3	6.463275858816699
NW029-5	6.6522853523441245
NW030-1	5.628859550132349
NW030-2	6.035724436550339
NW030-4	5.707507858526344
NW030-5-1	5.608326572160591
NW030-5-2	5.801581188661446
NW030-6	5.111855281908264
NW031-1	5.805581357573578
NW031-2	6.164045206385223
NW031-3	6.087036391207046
NW031-4	5.954452065686379
NW031-5	5.418375146858588
NW032-1	5.996540284731392
NW032-2	4.6209274237645435
NW032-3	5.881436264273365
NW032-4-1	5.688303523161428
NW032-4-2	5.563899588290118
NW032-4-3	5.291811571571348
NW032-5	6.367245363498584
NW033-1	4.5322716256777404
NW033-2	5.277016245127537
NW033-3	4.941161001373951
NW033-4	3.9902794953467
NW033-5	5.049439561001624
NW034-1	6.409111575997983
NW034-2-1	6.141658519940562
NW034-2-2	6.366954169488819
NW034-3	5.979778968670555
NW034-4	6.666034875751277
NW034-5	6.2124062884042495
NW035-1	6.426920765536504
NW035-2	6.658742813734711
NW035-4-1	6.5368470312509235
NW035-4-2	6.3619264853401685
NW035-5	6.482546873785569
NW036-1	5.928149354247936
NW036-2	6.325573724498895
NW036-3	6.571368880799474
NW036-4	6.609626099021785
NW036-5	6.469124146491076
NW038-1	7.101910366008394
NW038-2	7.393962846423374
NW038-3	7.2255257759245
NW038-4	7.275203540003224
NW038-5	7.216504815502169
NW040-1	6.761471558896611
NW040-2-1	7.3498529272218365
NW040-2-2	7.1310892445508145
NW040-3	6.524365853439198
NW041-1	6.451055881430287
NW041-2	6.563807023271801
NW042-1	5.850821037657872
NW042-3	6.780578215829964
NW042-4	6.265117084393216
NW042-5	5.812588953280648
NW043-1	7.134023130800179
NW043-3	6.648816307975683
NW043-4-1	7.196560517438286
NW043-4-2	7.084704114653773
NW043-6	7.308608229030178
NW044-1	6.771815140694542
NW045-1	5.269438122674729
NW045-2	5.368762884268888
NW045-3	6.792880467891154
NW045-4-1	6.543714814579525
NW045-4-2	5.181948244211439
NW045-5	5.823647434784365
NW046-1	6.735237779911402
NW046-5	6.570743514380517
NW047-4	5.975519799349296
NW047-5	5.778864887783189
NW048-1	6.665438201552915
NW048-5-1	7.227624932506645
NW048-5-2	6.444381112060437
NW049-1	6.18386963582746
NW049-2	5.919209569450199
NW049-3	5.868272071476769
NW049-4	5.003117650542761
NW049-5	6.977361130753483
NW050-1	5.442091236554225
NW050-2	5.09024480240253
NW050-3	4.216689599717283
NW050-4	4.942669210204322
NW050-5	5.545435572251122
NW051-1	6.178424794813128
NW051-2	5.884303627216519
NW051-3	5.773587994621504
NW051-5	5.90779337100869
NW051-6	6.033660287607157
NW052-1	6.705441964065419
NW052-2	7.252770157169567
NW053-1	5.954089850590439
NW053-2	4.7263770615653655
NW053-3	4.532018373082304
NW053-4	5.376984960977665
NW053-5	5.288165871205748
